trip_distance,tip_amount,fare_amount,total_amount,passenger_count,start_hour,start_day,start_weekday,start_month,trip_duration_minutes
4.04,0.0,16.5,17.3,1.0,6,1,Thursday,7,19.9
4.37,3.45,18.0,25.0,1.0,6,1,Thursday,7,23.2
3.63,0.0,12.0,12.8,1.0,6,1,Thursday,7,7.85
1.9,1.75,7.5,10.55,1.0,6,1,Thursday,7,6.783333333333333
1.0,0.0,4.5,5.3,1.0,6,1,Thursday,7,2.0833333333333335
0.5,0.0,4.0,4.8,1.0,6,1,Thursday,7,2.783333333333333
1.4,0.0,7.0,7.8,1.0,6,1,Thursday,7,6.783333333333333
4.3,3.5,14.0,21.05,1.0,6,1,Thursday,7,10.0
5.47,0.0,32.5,39.85,1.0,6,1,Thursday,7,48.733333333333334
20.57,0.0,64.5,78.4,1.0,6,1,Thursday,7,63.5
5.71,0.01,18.0,18.81,1.0,6,1,Thursday,7,13.15
10.0,0.0,43.5,44.3,1.0,6,1,Thursday,7,55.21666666666667
0.06,0.0,52.0,52.8,2.0,6,1,Thursday,7,0.2833333333333333
19.73,0.0,63.5,70.85,1.0,6,1,Thursday,7,55.45
17.54,10.0,52.0,69.35,6.0,6,1,Thursday,7,30.183333333333334
0.21,0.0,12.0,12.8,1.0,6,1,Thursday,7,21.6
2.5,3.26,9.5,16.31,1.0,6,1,Thursday,7,8.6
2.6,2.91,11.0,17.46,1.0,6,1,Thursday,7,11.983333333333333
6.46,0.0,22.5,23.3,1.0,6,1,Thursday,7,21.4
1.75,1.76,8.0,10.56,1.0,6,1,Thursday,7,8.483333333333333
1.6,0.0,6.5,7.3,1.0,6,1,Thursday,7,5.0
4.0,2.0,15.0,20.55,1.0,6,1,Thursday,7,16.766666666666666
2.46,0.0,10.5,11.3,1.0,6,1,Thursday,7,11.6
0.0,0.0,45.2,52.55,1.0,6,1,Thursday,7,46.75
11.79,6.66,32.5,39.96,6.0,7,1,Thursday,7,20.3
1.7,0.0,8.5,9.3,1.0,6,1,Thursday,7,10.15
1.33,0.0,6.5,7.3,1.0,6,1,Thursday,7,5.766666666666667
1.59,0.0,8.0,8.8,1.0,7,1,Thursday,7,8.183333333333334
0.91,1.36,6.0,8.16,1.0,7,1,Thursday,7,5.733333333333333
3.68,4.26,13.5,21.31,1.0,7,1,Thursday,7,12.566666666666666
2.15,0.0,9.5,10.3,1.0,7,1,Thursday,7,8.866666666666667
17.8,0.0,50.0,57.35,1.0,6,1,Thursday,7,34.2
19.68,0.0,60.0,67.35,1.0,6,1,Thursday,7,1428.5666666666666
3.07,0.0,12.0,12.8,1.0,7,1,Thursday,7,12.183333333333334
3.12,3.99,12.5,17.29,1.0,7,1,Thursday,7,16.433333333333334
0.87,0.0,5.5,6.3,1.0,6,1,Thursday,7,5.3
2.56,0.0,11.0,14.55,2.0,7,1,Thursday,7,13.966666666666667
0.72,0.5,4.5,5.8,1.0,7,1,Thursday,7,3.1333333333333333
1.38,2.2,8.0,11.0,2.0,7,1,Thursday,7,9.15
3.21,2.14,13.5,16.44,1.0,7,1,Thursday,7,16.05
1.67,0.0,8.5,9.3,2.0,7,1,Thursday,7,8.783333333333333
1.68,2.32,8.5,11.62,1.0,7,1,Thursday,7,8.816666666666666
3.6,3.61,14.5,21.66,1.0,7,1,Thursday,7,15.116666666666667
3.44,6.0,12.5,22.05,1.0,8,1,Thursday,7,11.2
1.25,1.56,7.0,9.36,1.0,7,1,Thursday,7,6.8
10.55,0.0,46.0,46.8,1.0,7,1,Thursday,7,63.06666666666667
0.0,0.0,28.2,35.55,1.0,7,1,Thursday,7,18.033333333333335
2.9,0.0,11.5,15.05,1.0,7,1,Thursday,7,12.733333333333333
4.51,3.91,16.0,23.46,1.0,7,1,Thursday,7,17.166666666666668
5.7,0.0,17.5,18.3,1.0,7,1,Thursday,7,12.633333333333333
3.21,0.0,16.0,19.55,1.0,7,1,Thursday,7,18.516666666666666
0.0,0.0,44.2,51.55,1.0,7,1,Thursday,7,45.5
1.12,1.36,6.0,8.16,1.0,6,1,Thursday,7,5.916666666666667
1.03,0.0,6.5,7.3,1.0,7,1,Thursday,7,6.066666666666666
0.73,0.0,4.5,5.3,1.0,7,1,Thursday,7,2.933333333333333
0.03,0.0,2.5,3.3,1.0,7,1,Thursday,7,0.06666666666666667
2.26,0.0,9.5,10.3,1.0,7,1,Thursday,7,9.266666666666667
0.0,0.0,13.2,14.0,1.0,7,1,Thursday,7,12.133333333333333
1.4,0.0,8.0,8.8,1.0,7,1,Thursday,7,8.633333333333333
1.7,0.0,7.5,8.3,1.0,7,1,Thursday,7,7.333333333333333
3.2,3.21,12.5,19.26,1.0,7,1,Thursday,7,14.266666666666667
